type,code,name,ISIN,start,market,group,CFI
上櫃認購(售)權證,700008,新應材元大56購02,TW25Z7000081,2025/10/01,上櫃,,RWSCCA
上櫃認購(售)權證,700010,萬潤元大56購01,TW25Z7000107,2025/10/01,上櫃,,RWSCCA
上櫃認購(售)權證,700016,博智富邦56購01,TW25Z7000164,2025/10/01,上櫃,,RWSCCE
上櫃認購(售)權證,700018,雙鴻富邦56購02,TW25Z7000180,2025/10/01,上櫃,,RWSCCE
上櫃認購(售)權證,700019,宏捷科統一5C購01,TW25Z7000198,2025/10/01,上櫃,,RWSCCA
上櫃認購(售)權證,700020,佳邦統一5C購01,TW25Z7000206,2025/10/01,上櫃,,RWSCCA
上櫃認購(售)權證,700021,長佳智統一5C購02,TW25Z7000214,2025/10/01,上櫃,,RWSCCA
上櫃認購(售)權證,700022,華星光統一5C購01,TW25Z7000222,2025/10/01,上櫃,,RWSCCA
上櫃認購(售)權證,700023,新應材統一5B購02,TW25Z7000230,2025/10/01,上櫃,,RWSCCA
上櫃認購(售)權證,700024,新應材統一64購02,TW25Z7000248,2025/10/01,上櫃,,RWSCCA
上櫃認購(售)權證,700025,雙鴻統一5B購01,TW25Z7000255,2025/10/01,上櫃,,RWSCCA
上櫃認購(售)權證,700027,新應材中信57購01,TW25Z7000271,2025/10/01,上櫃,,RWSCCE
上櫃認購(售)權證,700028,雙鴻中信59購01,TW25Z7000289,2025/10/01,上櫃,,RWSCCE
上櫃認購(售)權證,700042,新應材永豐56購02,TW25Z7000420,2025/10/01,上櫃,,RWSCCA
上櫃認購(售)權證,700043,新應材永豐59購01,TW25Z7000438,2025/10/01,上櫃,,RWSCCA
上櫃認購(售)權證,700044,廣明永豐56購01,TW25Z7000446,2025/10/01,上櫃,,RWSCCA
上櫃認購(售)權證,700047,宏捷科凱基59購01,TW25Z7000479,2025/10/01,上櫃,,RWSCCA
上櫃認購(售)權證,700050,能率凱基56購02,TW25Z7000503,2025/10/01,上櫃,,RWSCCA
上櫃認購(售)權證,700054,雙鴻凱基56購03,TW25Z7000545,2025/10/01,上櫃,,RWSCCA
上櫃認購(售)權證,700057,中光電國票57購02,TW25Z7000578,2025/10/02,上櫃,,RWSCCA
上櫃認購(售)權證,700058,弘塑國票58購01,TW25Z7000586,2025/10/02,上櫃,,RWSCCA
上櫃認購(售)權證,700059,生合國票56購02,TW25Z7000594,2025/10/02,上櫃,,RWSCCA
上櫃認購(售)權證,700060,東洋國票56購01,TW25Z7000602,2025/10/02,上櫃,,RWSCCA
上櫃認購(售)權證,700064,意藍國票57購01,TW25Z7000644,2025/10/02,上櫃,,RWSCCA
上櫃認購(售)權證,700065,系統電統一5A購01,TW25Z7000651,2025/10/02,上櫃,,RWSCCA
上櫃認購(售)權證,70006C,元債20富邦56牛01,TW25Z70006C6,2025/06/04,上櫃,,RWBCCE
上櫃認購(售)權證,700070,良維富邦57購01,TW25Z7000701,2025/10/02,上櫃,,RWSCCE
上櫃認購(售)權證,700074,驊訊元富5A購01,TW25Z7000743,2025/10/02,上櫃,,RWSCCA
上櫃認購(售)權證,700075,印能中信57購01,TW25Z7000750,2025/10/02,上櫃,,RWSCCE
上櫃認購(售)權證,700076,旺矽中信57購01,TW25Z7000768,2025/10/02,上櫃,,RWSCCE
上櫃認購(售)權證,700077,系統電永豐58購01,TW25Z7000776,2025/10/02,上櫃,,RWSCCA
上櫃認購(售)權證,700078,家登永豐56購01,TW25Z7000784,2025/10/02,上櫃,,RWSCCA
上櫃認購(售)權證,700079,華義永豐5A購01,TW25Z7000792,2025/10/02,上櫃,,RWSCCA
上櫃認購(售)權證,700086,博智群益5A購01,TW25Z7000867,2025/10/02,上櫃,,RWSCCA
上櫃認購(售)權證,700092,中光電凱基58購01,TW25Z7000925,2025/10/02,上櫃,,RWSCCA
上櫃認購(售)權證,700102,M31元大56購01,TW25Z7001022,2025/10/02,上櫃,,RWSCCA
上櫃認購(售)權證,700103,中光電元大5A購01,TW25Z7001030,2025/10/02,上櫃,,RWSCCA
上櫃認購(售)權證,700113,雙鴻元大5A購01,TW25Z7001139,2025/10/02,上櫃,,RWSCCA
上櫃認購(售)權證,700124,昇達科國票57購01,TW25Z7001246,2025/10/03,上櫃,,RWSCCA
